liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Nanasei Iino,D,45,6.5,26,0,0,,,2,1,0,16,12,0,0,3,0,0,0,2,5,0,2,2,2,0,0,1,1,0,8,0,5,0,0,0,0,0,2026-09-01T10:31:04.939175+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Pablo Sabbag,F,9,6.2,11,0,0,,,1,0,0,5,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2026-09-01T10:31:04.939434+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Ren Komatsu,F,87,7.4,26,1,0,,,3,3,0,13,6,0,0,0,0,0,0,9,6,8,3,0,0,2,1,1,0,0,11,1,2,1,0,0,0,0,2026-09-01T10:31:04.939144+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Rikito Inoue,D,90,6.9,61,0,0,,,0,0,0,48,40,10,4,0,0,0,0,3,2,2,2,1,1,6,1,3,0,0,9,0,0,0,0,0,1,0,2026-09-01T10:31:04.939335+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Ryotaro Inouchi,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:04.939240+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Shinji Kagawa,M,9,6.6,6,0,0,,,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026-09-01T10:31:04.939444+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Shinnosuke Hatanaka,D,90,7.1,73,0,0,,,2,0,0,60,56,8,5,0,0,0,0,5,2,4,2,0,0,8,0,3,0,0,4,3,0,0,0,0,1,0,2026-09-01T10:31:04.939325+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Shuichi Gonda,G,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:04.939257+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Shunta Tanaka,M,90,7.0,56,0,0,,,0,0,0,50,44,6,3,0,0,0,0,2,1,1,0,1,0,1,2,3,0,0,6,0,0,0,0,0,1,0,2026-09-01T10:31:04.939306+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Solomon Sakuragawa,F,81,6.3,23,0,0,,,3,1,0,13,6,0,0,0,0,1,0,5,9,5,6,0,0,2,0,0,0,1,11,0,1,0,0,0,1,0,2026-09-01T10:31:04.939344+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Takumi Nakamura,D,73,6.3,58,0,0,,,1,0,4,31,23,4,1,16,5,1,1,2,2,1,0,0,0,0,0,1,0,0,21,0,0,0,0,0,1,0,2026-09-01T10:31:04.939369+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Takuya Iwanami,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:04.939267+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Tetsushi Yamakawa,D,90,7.4,61,0,0,,,1,1,0,46,35,7,2,0,0,0,0,6,4,5,4,1,1,7,0,5,0,0,12,0,0,0,0,0,0,0,2026-09-01T10:31:04.939072+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Thiago Andrade,M,25,6.3,8,0,0,,,2,1,0,3,3,0,0,1,0,2,1,1,2,0,1,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,2026-09-01T10:31:04.939415+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Thuler,D,90,7.4,60,0,0,,,2,0,1,44,35,7,3,1,0,0,0,6,2,5,2,1,1,7,0,3,0,0,12,0,0,0,0,0,0,0,2026-09-01T10:31:04.939082+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Travis Takahashi,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:04.939462+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Yosuke Ideguchi,M,90,6.8,47,0,0,,,1,1,0,35,28,5,2,3,0,1,1,3,2,0,0,1,0,2,1,6,0,0,10,1,0,0,0,0,0,0,2026-09-01T10:31:04.938992+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Yota Komi,M,81,6.6,24,0,0,,,2,1,2,13,11,2,2,3,2,1,0,1,1,1,0,0,0,2,1,1,0,0,4,0,0,0,0,0,1,0,2026-09-01T10:31:04.939354+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Yuan Iwamoto,M,73,6.8,26,0,0,,,0,0,1,21,19,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,0,0,0,2026-09-01T10:31:04.939155+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Yumeki Yokoyama,M,65,6.4,25,0,0,,,1,0,2,12,8,0,0,4,1,3,1,1,3,0,1,0,0,0,2,1,1,0,10,0,0,0,0,0,0,0,2026-09-01T10:31:04.939396+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Yuta Goke,M,90,6.7,31,0,0,,,0,0,0,18,15,2,1,1,0,2,1,5,6,0,3,2,2,3,0,2,0,0,7,2,2,1,0,0,0,0,2026-09-01T10:31:04.939051+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Yuya Kuwasaki,M,17,6.9,12,0,0,,,0,0,0,11,10,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026-09-01T10:31:04.939184+00:00
